timestamp,lang,sentiment,reply,user_input
16-10-2025 15:40,en,neutral,Thanks for the feedback. How can I assist you further?,I’m happy with the hospital service.
16-10-2025 15:41,en,neutral,Thanks for the feedback. How can I assist you further?,I’m happy with the hospital service.
16-10-2025 15:41,en,neutral,Thanks for the feedback. How can I assist you further?,The waiting time was too long.
16-10-2025 15:43,ca,neutral,Gràcies per la retroalimentació.,exit 
16-10-2025 15:47,en,neutral,Thanks for the feedback. How can I assist you further?,i waited for too long in the line 
16-10-2025 16:06,en,neutral,Thanks for the feedback. How can I assist you further?,The nurses were rude and unhelpful.
16-10-2025 16:10,en,neutral,Thanks for the feedback. How can I assist you further?,The nurses were rude and unhelpful.
16-10-2025 20:09,en,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,The nurses were rude and unhelpful.
16-10-2025 20:10,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,The doctors were very kind and supportive.
16-10-2025 20:10,en,neutral,Thanks for sharing your feedback. How can I assist you further?,The service was okay.
16-10-2025 20:10,ta,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,நர்ஸ்கள் மிகவும் மோசமாக நடந்துகொண்டனர்.
16-10-2025 21:01,en,negative,I'm really sorry to hear that. We'll improve!,The nurses were rude and unhelpful.
16-10-2025 21:02,en,positive,That's wonderful to hear — thank you!,The doctors were very kind and supportive.
16-10-2025 21:11,en,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,The nurses were rude.
16-10-2025 21:11,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,The doctors were kind.
16-10-2025 21:11,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,The doctors were kind.
16-10-2025 21:12,en,negative,I'm really sorry to hear that. We'll improve!,the nurse was too rude to the patients
16-10-2025 21:12,en,negative,I'm really sorry to hear that. We'll improve!,the nurse was too rude to the patients
16-10-2025 21:13,en,positive,That's wonderful to hear — thank you!,"the doc, was good in his service "
2025-10-16 21:21:21,en,positive,That's wonderful to hear — thank you!,the doctor was good in a service
2025-10-16 21:21:54,en,positive,That's wonderful to hear — thank you!,the doctor was good in a service
2025-10-16 21:26:01,en,positive,That's wonderful to hear — thank you!,the hospital was good 
2025-10-16 21:33:15,ta,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,மருத்துவர் மிகவும் அன்பாக இருந்தார்.
2025-10-16 21:33:15,ta,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,மருத்துவர் மிகவும் அன்பாக இருந்தார்.
2025-10-16 21:37:40,en,neutral,Thanks for sharing your feedback. How can I assist you further?,doctor was
2025-10-16 21:38:01,ca,negative,Em sap greu haver tingut una mala experiència.,Dr Vasco
2025-10-16 21:38:01,ca,negative,Em sap greu haver tingut una mala experiència.,Dr Vasco
2025-10-16 21:38:23,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the doctor was good but the nurse
2025-10-16 21:38:29,en,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,Badrinath is most important the services to Goa
2025-10-16 21:38:43,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the doctor was good
2025-10-16 21:38:43,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the doctor was good
2025-10-16 21:38:44,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the doctor was good
2025-10-16 21:45:51,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the doctor was good
2025-10-16 21:45:51,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the doctor was good
2025-10-16 21:47:21,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,please of the nurse was not quite good
2025-10-16 21:47:21,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,please of the nurse was not quite good
2025-10-17 07:38:42,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,"the service was soo good 
"
2025-10-17 07:39:29,en,positive,That’s wonderful to hear! We truly appreciate your kind words and trust.,the service was not good
2025-10-17 07:42:57,en,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,the service was poor 
2025-10-17 07:43:04,en,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,the service was poor 
2025-10-17 07:43:12,en,negative,I'm really sorry you had a poor experience. That matters. Can I help escalate this to patient relations?,the service is poor
2025-10-17 10:26:51,en,neutral,Thanks for sharing your feedback. How can I assist you further?,the service was ok
